#IID	Sample	Population	SuperPopulation	isFemale	PurpleHair	CaffeineConsumption	isFemale_num
HG00096	HG00096	GBR	EUR	False	False	4	0
HG00099	HG00099	GBR	EUR	True	False	4	1
HG00105	HG00105	GBR	EUR	False	False	4	0
HG00118	HG00118	GBR	EUR	True	False	3	1
HG00129	HG00129	GBR	EUR	False	False	6	0
HG00148	HG00148	GBR	EUR	False	True	2	0
HG00177	HG00177	FIN	EUR	True	True	4	1
HG00182	HG00182	FIN	EUR	False	False	2	0
HG00242	HG00242	GBR	EUR	False	False	1	0
HG00254	HG00254	GBR	EUR	True	False	2	1
HG00265	HG00265	GBR	EUR	False	True	0	0
HG00271	HG00271	FIN	EUR	False	False	5	0
HG00274	HG00274	FIN	EUR	True	True	4	1
HG00332	HG00332	FIN	EUR	True	True	5	1
HG00335	HG00335	FIN	EUR	False	True	4	0
HG00369	HG00369	FIN	EUR	False	False	3	0
HG00421	HG00421	CHS	EAS	False	False	6	0
HG00436	HG00436	CHS	EAS	False	False	5	0
HG00452	HG00452	CHS	EAS	True	False	5	1
HG00472	HG00472	CHS	EAS	False	True	7	0
HG00530	HG00530	CHS	EAS	False	True	5	0
HG00534	HG00534	CHS	EAS	True	True	5	1
HG00583	HG00583	CHS	EAS	False	True	7	0
HG00590	HG00590	CHS	EAS	True	True	5	1
HG00598	HG00598	CHS	EAS	False	True	1	0
HG00607	HG00607	CHS	EAS	False	False	5	0
HG00619	HG00619	CHS	EAS	False	True	5	0
HG00623	HG00623	CHS	EAS	True	True	5	1
HG00657	HG00657	CHS	EAS	True	True	4	1
HG00663	HG00663	CHS	EAS	True	False	4	1
HG00704	HG00704	CHS	EAS	False	True	5	0
HG00705	HG00705	CHS	EAS	True	True	5	1
HG00733	HG00733	PUR	AMR	True	False	5	1
HG00864	HG00864	CDX	EAS	True	True	6	1
HG00881	HG00881	CDX	EAS	False	False	6	0
HG01052	HG01052	PUR	AMR	True	False	4	1
HG01070	HG01070	PUR	AMR	True	False	4	1
HG01075	HG01075	PUR	AMR	False	False	6	0
HG01164	HG01164	PUR	AMR	False	True	3	0
HG01174	HG01174	PUR	AMR	True	False	3	1
HG01241	HG01241	PUR	AMR	False	True	5	0
HG01248	HG01248	PUR	AMR	True	True	4	1
HG01256	HG01256	CLM	AMR	False	True	4	0
HG01275	HG01275	CLM	AMR	True	False	5	1
HG01284	HG01284	CLM	AMR	True	True	5	1
HG01334	HG01334	GBR	EUR	False	False	4	0
HG01348	HG01348	CLM	AMR	True	True	6	1
HG01396	HG01396	PUR	AMR	True	False	5	1
HG01443	HG01443	CLM	AMR	False	False	4	0
HG01491	HG01491	CLM	AMR	False	False	4	0
HG01498	HG01498	CLM	AMR	True	False	5	1
HG01537	HG01537	IBS	EUR	True	True	6	1
HG01572	HG01572	PEL	AMR	True	False	3	1
HG01606	HG01606	IBS	EUR	False	False	7	0
HG01623	HG01623	IBS	EUR	True	True	5	1
HG01630	HG01630	IBS	EUR	False	False	5	0
HG01783	HG01783	IBS	EUR	False	False	6	0
HG01784	HG01784	IBS	EUR	True	True	3	1
HG01790	HG01790	GBR	EUR	True	True	2	1
HG01799	HG01799	CDX	EAS	True	False	5	1
HG01801	HG01801	CDX	EAS	True	True	5	1
HG01806	HG01806	CDX	EAS	True	False	4	1
HG01812	HG01812	CDX	EAS	True	False	6	1
HG01813	HG01813	CDX	EAS	True	False	5	1
HG01817	HG01817	CDX	EAS	True	False	6	1
HG01848	HG01848	KHV	EAS	True	False	4	1
