level_0	level_1	weight
1110032A03Rik	0610009B22Rik	1.0
1600012H06Rik	0610010F05Rik	1.0
1810009A15Rik	1110059G10Rik	1.0
1810030O07Rik	0610009B22Rik	1.0
1810030O07Rik	1110032A03Rik	1.0
2300009A05Rik	1700021F05Rik	1.0
2410004B18Rik	0610010K14Rik	1.0
2510039O18Rik	1110065P20Rik	1.0
3110040N11Rik	0610010F05Rik	1.0
3110040N11Rik	1600012H06Rik	1.0
4921524J17Rik	1110059G10Rik	1.0
4921524J17Rik	1810009A15Rik	1.0
4933434E20Rik	0610009B22Rik	1.0
4933434E20Rik	1110032A03Rik	1.0
4933434E20Rik	1810030O07Rik	1.0
9130401M01Rik	1110059G10Rik	1.0
9130401M01Rik	1810009A15Rik	1.0
9130401M01Rik	4921524J17Rik	1.0
9530068E07Rik	0610010K14Rik	1.0
9530068E07Rik	2410004B18Rik	1.0
A430005L14Rik	0610010K14Rik	1.0
A430005L14Rik	2410004B18Rik	1.0
A430005L14Rik	9530068E07Rik	1.0
Aamp	0610010K14Rik	1.0
Aamp	2410004B18Rik	1.0
Aamp	9530068E07Rik	1.0
Aamp	A430005L14Rik	1.0
Aarsd1	2610507B11Rik	1.0
Aasdhppt	2310011J03Rik	1.0
Abca1	0610010F05Rik	1.0
Abca1	1600012H06Rik	1.0
Abca1	3110040N11Rik	1.0
Abca9	2310009B15Rik	1.0
Abcb10	1700021F05Rik	1.0
Abcb10	2300009A05Rik	1.0
Abcd3	2810004N23Rik	1.0
Abcf2	1600014C10Rik	1.0
Abhd11	Abcb8	1.0
Abhd12	1110065P20Rik	1.0
Abhd12	2510039O18Rik	1.0
Abhd13	2310011J03Rik	1.0
Abhd13	Aasdhppt	1.0
Abraxas2	0610009B22Rik	1.0
Abraxas2	1110032A03Rik	1.0
Abraxas2	1810030O07Rik	1.0
Abraxas2	4933434E20Rik	1.0
Acaa1a	2610507B11Rik	1.0
Acaa1a	Aarsd1	1.0
Acad11	Acaa2	1.0
Acad8	2810004N23Rik	1.0
Acad8	Abcd3	1.0
Acadsb	2510002D24Rik	1.0
Acadvl	Acaa2	1.0
Acadvl	Acad11	1.0
Acbd3	1110004F10Rik	1.0
Acbd5	0610009B22Rik	1.0
Acbd5	1110032A03Rik	1.0
Acbd5	1810030O07Rik	1.0
Acbd5	4933434E20Rik	1.0
Acbd5	Abraxas2	1.0
Acbd6	Abhd16a	1.0
Aco1	1600014C10Rik	1.0
Aco1	Abcf2	1.0
Aco2	Acaa2	1.0
Aco2	Acad11	1.0
Aco2	Acadvl	1.0
Acot9	Aatf	1.0
Acox1	Acaa2	1.0
Acox1	Acad11	1.0
Acox1	Acadvl	1.0
Acox1	Aco2	1.0
Acp1	1110059G10Rik	1.0
Acp1	1810009A15Rik	1.0
Acp1	4921524J17Rik	1.0
Acp1	9130401M01Rik	1.0
Acsf3	Acp6	1.0
Acsl1	Acad12	1.0
Acss1	Acaa2	1.0
Acss1	Acad11	1.0
Acss1	Acadvl	1.0
Acss1	Aco2	1.0
Acss1	Acox1	1.0
Acss2	2310061I04Rik	1.0
Acta2	Abr	1.0
Actg1	Abhd17b	1.0
Actl6a	0610010K14Rik	1.0
Actl6a	2410004B18Rik	1.0
Actl6a	9530068E07Rik	1.0
Actl6a	A430005L14Rik	1.0
Actl6a	Aamp	1.0
Actn2	Actc1	1.0
Actr3	Aatf	1.0
Actr3	Acot9	1.0
Actr3b	Acadl	1.0
Acy1	0610012G03Rik	1.0
Acyp1	Abracl	1.0
Adam17	0610009B22Rik	1.0
Adam17	1110032A03Rik	1.0
Adam17	1810030O07Rik	1.0
Adam17	4933434E20Rik	1.0
Adam17	Abraxas2	1.0
Adam17	Acbd5	1.0
Adam19	Abi2	1.0
Adam8	Actn1	1.0
Adam9	Abhd17b	1.0
Adam9	Actg1	1.0
Adamts2	4930453N24Rik	1.0
Adcy7	0610009B22Rik	1.0
Adcy7	1110032A03Rik	1.0
Adcy7	1810030O07Rik	1.0
Adcy7	4933434E20Rik	1.0
Adcy7	Abraxas2	1.0
Adcy7	Acbd5	1.0
Adcy7	Adam17	1.0
Adgre1	1110059G10Rik	1.0
Adgre1	1810009A15Rik	1.0
Adgre1	4921524J17Rik	1.0
Adgre1	9130401M01Rik	1.0
Adgre1	Acp1	1.0
Adgrl4	1110038F14Rik	1.0
Adh5	1110038F14Rik	1.0
Adh5	Adgrl4	1.0
Adprh	0610010K14Rik	1.0
Adprh	2410004B18Rik	1.0
Adprh	9530068E07Rik	1.0
Adprh	A430005L14Rik	1.0
Adprh	Aamp	1.0
Adprh	Actl6a	1.0
Adprhl1	A530016L24Rik	1.0
Adsl	Acp6	1.0
Adsl	Acsf3	1.0
Afg1l	2610507B11Rik	1.0
Afg1l	Aarsd1	1.0
Afg1l	Acaa1a	1.0
Aga	1110038F14Rik	1.0
Aga	Adgrl4	1.0
Aga	Adh5	1.0
Agap3	1110065P20Rik	1.0
Agap3	2510039O18Rik	1.0
Agap3	Abhd12	1.0
Agfg1	Aen	1.0
Aggf1	1110059G10Rik	1.0
Aggf1	1810009A15Rik	1.0
Aggf1	4921524J17Rik	1.0
Aggf1	9130401M01Rik	1.0
Aggf1	Acp1	1.0
Aggf1	Adgre1	1.0
Agpat2	1700021F05Rik	1.0
Agpat2	2300009A05Rik	1.0
Agpat2	Abcb10	1.0
Agpat3	Abcb8	1.0
Agpat3	Abhd11	1.0
Agpat5	2310011J03Rik	1.0
Agpat5	Aasdhppt	1.0
Agpat5	Abhd13	1.0
Agps	Aftph	1.0
Ahsa1	Actr1b	1.0
Ahsa2	Abcf1	1.0
AI413582	1110038F14Rik	1.0
AI413582	Adgrl4	1.0
AI413582	Adh5	1.0
AI413582	Aga	1.0
AI597479	Aamdc	1.0
AI987944	Aftph	1.0
AI987944	Agps	1.0
Aifm1	Aamdc	1.0
Aifm1	AI597479	1.0
Aifm2	2610507B11Rik	1.0
Aifm2	Aarsd1	1.0
Aifm2	Acaa1a	1.0
Aifm2	Afg1l	1.0
Aig1	2610507B11Rik	1.0
Aig1	Aarsd1	1.0
Aig1	Acaa1a	1.0
Aig1	Afg1l	1.0
Aig1	Aifm2	1.0
Aimp1	2310011J03Rik	1.0
Aimp1	Aasdhppt	1.0
Aimp1	Abhd13	1.0
Aimp1	Agpat5	1.0
Aimp2	1600014C10Rik	1.0
Aimp2	Abcf2	1.0
Aimp2	Aco1	1.0
Aip	Ahcy	1.0
Ak1	Adipor2	1.0
Ak6	Acp2	1.0
Akap1	Agl	1.0
Akap10	Ahcyl1	1.0
Akap13	4931406P16Rik	1.0
Akap6	A530016L24Rik	1.0
Akap6	Adprhl1	1.0
Akap8	2610001J05Rik	1.0
Akip1	1110038F14Rik	1.0
Akip1	Adgrl4	1.0
Akip1	Adh5	1.0
Akip1	Aga	1.0
Akip1	AI413582	1.0
Akr1a1	1110038F14Rik	1.0
Akr1a1	Adgrl4	1.0
Akr1a1	Adh5	1.0
Akr1a1	Aga	1.0
Akr1a1	AI413582	1.0
Akr1a1	Akip1	1.0
Akr1b10	1700021F05Rik	1.0
Akr1b10	2300009A05Rik	1.0
Akr1b10	Abcb10	1.0
Akr1b10	Agpat2	1.0
Akt1	1110065P20Rik	1.0
Akt1	2510039O18Rik	1.0
Akt1	Abhd12	1.0
Akt1	Agap3	1.0
Akt2	Adipor2	1.0
Akt2	Ak1	1.0
Akt3	Acvr2a	1.0
